name,sku,price,mrp,stock,category,weight,shortdescription,description,image
"Vitamin C Glowing Face Serum","BEAUTY-SKIN-001",499,799,50,"Skincare","30ml","Nourishing Vitamin C face serum for radiant skin","Formulated with 15% Vitamin C, Ferulic Acid and Hyaluronic Acid to brighten dull skin, fade dark spots and boost collagen.","https://images.unsplash.com/photo-1620916566398-39f1143ab7be?w=500&auto=format&fit=crop&q=60"
"Hyaluronic Acid Hydrating Gel Cream","BEAUTY-SKIN-002",599,899,40,"Skincare","50g","Ultra-lightweight oil-free hydration gel","Deeply hydrates skin for 72 hours with multi-molecular hyaluronic acid and ceramides. Perfect for oily and combination skin.","https://images.unsplash.com/photo-1598440947619-2c35fc9aa908?w=500&auto=format&fit=crop&q=60"
"Tea Tree Acne Control Face Wash","BEAUTY-SKIN-003",299,450,75,"Skincare","150ml","Purifying face cleanser for acne-prone skin","Enriched with pure Australian tea tree oil and salicylic acid to unclog pores, reduce redness and prevent pimples.","https://images.unsplash.com/photo-1556228720-195a672e8a03?w=500&auto=format&fit=crop&q=60"
"Matte Liquid Lipstick - Ruby Red","BEAUTY-MAKEUP-004",349,599,60,"Makeup","5ml","Long-lasting transferproof matte red lipstick","16-hour stay matte liquid lipstick with intense color payoff and non-drying Vitamin E formulation.","https://images.unsplash.com/photo-1586495777744-4413f21062fa?w=500&auto=format&fit=crop&q=60"
"Waterproof Volume Mascara - Jet Black","BEAUTY-MAKEUP-005",399,650,45,"Makeup","10ml","Dramatic volume and lengthen eyelash mascara","Smudge-proof and waterproof mascara that adds instant volume and length without clumping.","https://images.unsplash.com/photo-1631729371254-42c2892f0e6e?w=500&auto=format&fit=crop&q=60"
"Retinol Night Renewal Cream","BEAUTY-SKIN-006",799,1299,30,"Skincare","50g","Anti-aging night repair treatment cream","Advanced 0.5% encapsulated retinol cream to smooth fine lines, firm skin texture and renew overnight youthful glow.","https://images.unsplash.com/photo-1570172619644-dfd03ed5d881?w=500&auto=format&fit=crop&q=60"
"Onion Hair Fall Control Oil","BEAUTY-HAIR-007",399,599,80,"Haircare","200ml","Nourishing hair growth oil with red onion seed extract","Cold-pressed blend of red onion oil, black seed oil, and argan oil to strengthen roots, control hair fall and promote shine.","https://images.unsplash.com/photo-1535585209827-a15fcdbc4c2d?w=500&auto=format&fit=crop&q=60"
"Keratin Repair Hair Conditioner","BEAUTY-HAIR-008",449,699,55,"Haircare","250ml","Smooth and silky keratin conditioner for dry hair","Intense damage repair conditioner enriched with hydrolyzed plant keratin and shea butter for frizz-free, soft hair.","https://images.unsplash.com/photo-1522337360788-8b13dee7a37e?w=500&auto=format&fit=crop&q=60"
"Sunscreen SPF 50 PA+++ Gel","BEAUTY-SKIN-009",499,749,90,"Skincare","80g","Broad spectrum ultra-light sun protection gel","Non-greasy, zero white cast sunscreen with Blue Light protection and Cica extract to protect against UVA/UVB rays.","https://images.unsplash.com/photo-1567928256505-649019623e1b?w=500&auto=format&fit=crop&q=60"
"Rose Water Facial Toner & Mist","BEAUTY-SKIN-010",199,349,100,"Skincare","100ml","100% pure steam-distilled rose water mist","Refreshing natural toner that tightens pores, balances skin pH, and provides instant hydration on the go.","https://images.unsplash.com/photo-1608248597163-49a64e402421?w=500&auto=format&fit=crop&q=60"
