name,sku,price,mrp,stock,category,weight,shortdescription,description,image
"Fortune Sunlite Refined Sunflower Oil 1L","RETAIL-GROC-001",145,175,100,"Grocery & Oil","1L","Light and healthy refined sunflower oil","Enriched with Vitamin AD & E, Fortune Sunlite sunflower oil keeps your food light and easy to digest.","https://images.unsplash.com/photo-1474979266404-7eaacbcd87c5?w=500&auto=format&fit=crop&q=60"
"Aashirvaad Shuddh Chakki Atta 5kg","RETAIL-GROC-002",260,295,80,"Grocery","5kg","100% pure whole wheat flour","Made from high-grade wheat grains sourced directly from Indian farmers. Produces soft, fluffy rotis every day.","https://images.unsplash.com/photo-1509440159596-0249088772ff?w=500&auto=format&fit=crop&q=60"
"India Gate Premium Basmati Rice 5kg","RETAIL-GROC-003",480,550,60,"Grocery","5kg","Aromatic long grain premium basmati rice","Aged to perfection basmati rice with slender grains, rich aroma and delicious natural taste. Ideal for Biryani & Pulao.","https://images.unsplash.com/photo-1586201375761-83865001e8ac?w=500&auto=format&fit=crop&q=60"
"Tata Salt Vacuum Evaporated Iodized Salt 1kg","RETAIL-GROC-004",25,28,200,"Grocery","1kg","Desh Ka Namak - pure iodized table salt","Purity guaranteed vacuum evaporated iodized salt. Provides essential iodine for healthy mental development.","https://images.unsplash.com/photo-1615485290382-441e4d049cb5?w=500&auto=format&fit=crop&q=60"
"Brooke Bond Red Label Natural Care Tea 500g","RETAIL-BEV-005",275,310,90,"Beverages","500g","Rich taste black tea infused with 5 ayurvedic herbs","Blended with Tulsi, Ginger, Cardamom, Mulethi and Ashwagandha to build immunity and deliver strong taste.","https://images.unsplash.com/photo-1576092768241-dec231879fc3?w=500&auto=format&fit=crop&q=60"
"Madhur Pure & Hygienic Sugar 1kg","RETAIL-GROC-006",48,55,150,"Grocery","1kg","Untouched sulfur-free refined white sugar crystals","100% natural, refined white sugar manufactured through untouched sulfur-free process. Free from harmful chemicals.","https://images.unsplash.com/photo-1581441363689-1f3c3c414635?w=500&auto=format&fit=crop&q=60"
"Tata Sampann Unpolished Toor / Arhar Dal 1kg","RETAIL-GROC-007",160,185,70,"Staples","1kg","High protein unpolished arhar dal","Nutritious toor dal without water, oil, or leather polish. Preserves natural goodness and high dietary fiber.","https://images.unsplash.com/photo-1515543237350-b3eea1ec8082?w=500&auto=format&fit=crop&q=60"
"Amul Taaza Homogenised Toned Milk 1L Tetra","RETAIL-DAIRY-008",72,75,120,"Dairy","1L","Pasteurized long-life toned milk","UHT treated milk requiring no boiling. Fresh and nutritious milk packed in 6-layer protective packaging.","https://images.unsplash.com/photo-1550583724-b2692b85b150?w=500&auto=format&fit=crop&q=60"
"Amul Pasteurized Salted Butter 500g","RETAIL-DAIRY-009",275,285,50,"Dairy","500g","Utterly butterly delicious cream butter","Made from wholesome milk fat. Perfect for spreading on toast, parathas, baking and cooking delicious meals.","https://images.unsplash.com/photo-1589985270826-4b7bb135bc9d?w=500&auto=format&fit=crop&q=60"
"Britannia Good Day Cashew Cookies 200g","RETAIL-SNACK-010",40,45,100,"Snacks","200g","Crunchy butter cashew biscuits","Rich cashew cookies loaded with real crunchy cashews and creamy butter. Spread happiness with every bite.","https://images.unsplash.com/photo-1558961363-fa8fdf82db35?w=500&auto=format&fit=crop&q=60"
"Parle-G Gold Original Glucose Biscuits 1kg","RETAIL-SNACK-011",110,120,80,"Snacks","1kg","Classic energy glucose biscuits family pack","Bigger and crunchier Parle-G Gold biscuits packed with wheat and milk nourishment for instant energy.","https://images.unsplash.com/photo-1590080875515-8a3a8dc5735e?w=500&auto=format&fit=crop&q=60"
"Maggi 2-Minute Masala Noodles Pack of 12","RETAIL-SNACK-012",165,180,110,"Instant Food","840g","India favorite 2-minute instant masala noodles","Made with quality spices and refined wheat flour. Quick, delicious and satisfying snack anytime.","https://images.unsplash.com/photo-1612927601601-6638404737ce?w=500&auto=format&fit=crop&q=60"
"Surf Excel Easy Wash Detergent Powder 1kg","RETAIL-HOUSE-013",135,155,90,"Household","1kg","Tough stain removal washing powder","Engineered with Superior Technology to remove tough stains like tea, coffee, turmeric, and ink with ease.","https://images.unsplash.com/photo-1584308666744-24d5c474f2ae?w=500&auto=format&fit=crop&q=60"
"Vim Dishwash Liquid Gel Lemon 500ml","RETAIL-HOUSE-014",115,135,85,"Household","500ml","Concentrated lemon grease cleaner gel","Power of 100 lemons in 1 spoon gel. Removes grease instantly without scratching cookware or leaving white residue.","https://images.unsplash.com/photo-1585421514284-efb74c2b69ba?w=500&auto=format&fit=crop&q=60"
"Dettol Original Germ Protection Soap Pack of 4","RETAIL-CARE-015",170,196,95,"Personal Care","500g","100% better germ protection bathing soap","Trusted Dettol formula protects against 99.9% illness-causing germs and keeps skin healthy and fresh daily.","https://images.unsplash.com/photo-1607006344380-b6775a0824a7?w=500&auto=format&fit=crop&q=60"
"Colgate Strong Teeth Dental Paste 500g Combo","RETAIL-CARE-016",215,250,70,"Personal Care","500g","Calcium boost toothpaste for cavity protection","Protects teeth with Amino Shakti formula that adds natural calcium to strengthen enamel and fight cavities.","https://images.unsplash.com/photo-1559599101-f09722fb4948?w=500&auto=format&fit=crop&q=60"
"Everest Chicken Masala Spice Powder 100g","RETAIL-SPICE-017",82,95,120,"Spices","100g","Perfect spice blend for mouthwatering gravy","Aromatic combination of coriander, cumin, chili, and cardamom to give chicken curries authentic rich flavor.","https://images.unsplash.com/photo-1596040033229-a9821ebd058d?w=500&auto=format&fit=crop&q=60"
"Catch Turmeric / Haldi Powder 200g","RETAIL-SPICE-018",58,68,130,"Spices","200g","100% pure high-curcumin haldi powder","Low-temperature ground turmeric powder ensuring rich golden color, high curcumin content, and natural aroma.","https://images.unsplash.com/photo-1615485290382-441e4d049cb5?w=500&auto=format&fit=crop&q=60"
"Nescafe Classic 100% Pure Instant Coffee 100g","RETAIL-BEV-019",340,385,40,"Beverages","100g","Rich and aromatic instant coffee glass jar","Made from 100% pure selected Robusta beans roasted to perfection for unmistakable rich coffee flavor.","https://images.unsplash.com/photo-1514432324607-a09d9b4aefdd?w=500&auto=format&fit=crop&q=60"
